session,timestamp,n_train,n_train_mal,n_train_ben,n_test,n_test_mal,n_test_ben,n_test_scenarios,is_scenario_eval,precision_mal,recall_mal,f1_mal,precision_ben,recall_ben,f1_ben,accuracy,tn,fp,fn,tp
1,2026-05-13 17:07:43,4800,3484,1316,292,292,0,21,1,1.0,0.9349,0.9664,0.0,0.0,0.0,0.9349,0,0,19,273
2,2026-05-13 17:09:56,5253,3484,1769,496,292,204,22,1,0.683,0.9521,0.7954,0.8427,0.3676,0.5119,0.7117,75,129,14,278
3,2026-05-13 18:33:21,4103,2334,1769,394,190,204,22,1,0.7356,0.3368,0.4621,0.5896,0.8873,0.7084,0.6218,181,23,126,64
4,2026-05-13 20:01:18,4353,2336,2017,394,190,204,22,1,0.7303,0.3421,0.4659,0.5902,0.8824,0.7073,0.6218,180,24,125,65
5,2026-05-13 20:02:24,4355,2336,2019,394,190,204,22,1,0.7263,0.3632,0.4842,0.5953,0.8725,0.7078,0.6269,178,26,121,69
6,2026-05-13 20:08:13,5141,3126,2015,610,190,420,23,1,0.3866,0.9684,0.5526,0.9552,0.3048,0.4621,0.5115,128,292,6,184
7,2026-05-13 20:11:02,5750,3126,2624,610,190,420,23,1,0.3895,0.9368,0.5502,0.9216,0.3357,0.4921,0.523,141,279,12,178
8,2026-05-13 20:15:34,6127,3126,3001,610,190,420,23,1,0.3812,0.9368,0.5419,0.9161,0.3119,0.4654,0.5066,131,289,12,178
9,2026-05-13 20:20:15,7197,3126,4071,610,190,420,23,1,0.3775,0.8842,0.5291,0.8667,0.3405,0.4889,0.5098,143,277,22,168
10,2026-05-13 20:24:11,7217,3126,4091,610,190,420,23,1,0.3741,0.8368,0.5171,0.8324,0.3667,0.5091,0.5131,154,266,31,159
11,2026-05-13 21:06:26,7399,3126,4273,610,190,420,23,1,0.4106,0.7737,0.5365,0.8294,0.4976,0.622,0.5836,209,211,43,147
12,2026-05-16 14:43:21,7773,3126,4647,610,190,420,23,1,0.4129,0.7737,0.5385,0.8307,0.5024,0.6261,0.5869,211,209,43,147
13,2026-05-16 14:45:40,8641,3126,5515,644,190,454,23,1,1.0,0.1789,0.3036,0.7443,1.0,0.8534,0.7578,454,0,156,34
14,2026-05-16 15:06:53,8641,3126,5515,644,190,454,23,1,0.3808,0.7737,0.5104,0.8333,0.4736,0.6039,0.5621,215,239,43,147
15,2026-05-16 15:12:15,8641,3126,5515,644,190,454,23,1,0.3587,0.7947,0.4943,0.8251,0.4053,0.5436,0.5202,184,270,39,151
16,2026-05-16 15:18:36,8641,3126,5515,644,190,454,23,1,0.5882,0.2632,0.3636,0.7496,0.9229,0.8272,0.7283,419,35,140,50
17,2026-05-16 15:21:44,9521,4006,5515,644,190,454,23,1,0.8475,0.2632,0.4016,0.7607,0.9802,0.8566,0.7686,445,9,140,50
18,2026-05-16 15:27:53,10721,4006,6715,644,190,454,23,1,0.8621,0.2632,0.4032,0.7611,0.9824,0.8577,0.7702,446,8,140,50
19,2026-05-16 15:32:29,10721,4006,6715,644,190,454,23,1,1.0,0.2421,0.3898,0.7592,1.0,0.8631,0.7764,454,0,144,46
20,2026-05-16 15:37:22,11071,4006,7065,644,190,454,23,1,1.0,0.2421,0.3898,0.7592,1.0,0.8631,0.7764,454,0,144,46
21,2026-05-16 15:57:12,11071,4006,7065,644,190,454,23,1,1.0,0.2421,0.3898,0.7592,1.0,0.8631,0.7764,454,0,144,46
